epoch: train_acc0 train_acc1 train_acc2 / test_acc0 test_acc1 test_acc2 / pure_ratio0 pure_ratio1 pure_ratio2 
69: 57.07932692307692 57.13942307692308 57.161458333333336 / 73.29727564102564 74.43910256410257 74.43910256410257 / 87.90464782714844 87.98878479003906 87.8846206665039
70: 57.04126602564103 57.10136217948718 57.12339743589744 / 74.61939102564102 74.49919871794872 74.51923076923077 / 87.8084945678711 87.68429565429688 87.69231414794922
71: 57.25560897435897 57.38782051282051 57.3056891025641 / 74.53926282051282 74.05849358974359 73.69791666666667 / 87.7724380493164 87.64022827148438 87.6602554321289
72: 57.34775641025641 57.37179487179487 57.36378205128205 / 73.93830128205128 73.7479967948718 74.50921474358974 / 87.63622283935547 87.72035217285156 87.62019348144531
73: 57.297676282051285 57.33573717948718 57.30168269230769 / 74.2588141025641 74.66947115384616 74.75961538461539 / 87.75240325927734 87.74839782714844 87.84856414794922
74: 57.40584935897436 57.36378205128205 57.38782051282051 / 74.28886217948718 74.04847756410257 74.3389423076923 / 87.83654022216797 87.63622283935547 87.7724380493164
75: 57.41386217948718 57.24158653846154 57.341746794871796 / 72.99679487179488 73.81810897435898 74.15865384615384 / 87.74439239501953 87.68429565429688 87.75240325927734
76: 57.41386217948718 57.477964743589745 57.37179487179487 / 73.77804487179488 74.22876602564102 75.11017628205128 / 87.59615325927734 87.64423370361328 87.48798370361328
77: 57.42588141025641 57.43189102564103 57.497996794871796 / 73.77804487179488 73.32732371794872 73.1270032051282 / 87.67227935791016 87.74038696289062 87.568115234375
78: 57.45192307692308 57.55008012820513 57.33774038461539 / 73.66786858974359 74.16866987179488 73.79807692307692 / 87.30769348144531 87.39183044433594 87.34375
79: 57.58213141025641 57.71634615384615 57.58613782051282 / 73.3974358974359 74.01842948717949 74.44911858974359 / 87.46394348144531 87.62019348144531 87.6081771850586
80: 57.50400641025641 57.53004807692308 57.522035256410255 / 72.7764423076923 74.66947115384616 74.44911858974359 / 87.30769348144531 87.47997283935547 87.47195434570312
81: 57.80048076923077 57.678285256410255 57.790464743589745 / 73.73798076923077 74.6494391025641 74.31891025641026 / 87.35977935791016 87.55609130859375 87.37981414794922
82: 57.71434294871795 57.79847756410256 57.83253205128205 / 73.76802884615384 74.14863782051282 73.93830128205128 / 87.51602935791016 87.42788696289062 87.36378479003906
83: 57.786458333333336 57.766426282051285 57.79447115384615 / 73.24719551282051 73.09695512820512 73.59775641025641 / 87.33173370361328 87.42788696289062 87.37981414794922
